glove_red=1,avg_KD,avg_SIG_STR_landed,total_time_fought(seconds),total_rounds_fought,Weight_lbs,age,categoria_tamano,golpes_pct
1,1,17,166,1,135,27,0.957142857,1.028571429
1,1.03125,43.15625,747.34375,17,185,28,0.972972973,1.065099944
1,0.546875,30.375,448.203125,13,264,28,0.986666667,1.089430794
1,0,44.36230469,874.3808594,30,135,43,0.970588235,1.269783542
1,0.3125,42.1875,649.3046875,18,155,41,0.96,1.085807281
1,0.625,33.5,445,10,170,31,1.014084507,0.955932141
1,0.024551392,72.17990112,683.1185608,31,185,37,0.948051948,1.143030355
1,0.75,43,850,13,135,28,0.933333333,1.222536136
1,0,49,900,3,125,27,0.955882353,1.023685267
1,0,6.90625,161.4882813,12,205,34,0.974025974,1.346504048
1,0.313964844,68.74414063,1273.572266,38,170,29,1,1.03596819
1,0.5,52.375,859,11,145,25,1,1.145305217
1,0.173828125,42.05859375,798.0351563,28,185,33,0.973333333,1.093413908
1,0.250152588,103.708313,1170.845886,45,115,36,0.984375,1.05918947
1,0.8125,70.1875,835.125,18,135,26,0.971428571,0.999634523
1,0.09375,73.21875,1167.640625,22,145,29,0.943661972,1.032747437
1,0.25,67.875,622,15,155,25,0.972222222,0.959746451
1,0,32.12548828,715.0507813,30,125,33,1,1.431575941
1,1,118,900,3,170,28,0.973333333,1.029535865
1,0,26.63063049,764.214325,42,135,36,0.985074627,1.013712938
1,0.125,59.53125,1004.03125,28,135,35,1,0.972435389
1,0.1875,65.40625,773.46875,13,145,23,1.014925373,1.197488134
1,1.53125,126.828125,1067.5625,20,135,28,1,1.159631773
1,0.825195313,36.394104,587.8077393,39,205,38,0.948717949,1.065678168
1,0.760400772,44.54456902,876.8006668,40,205,37,0.973684211,1.07417554
1,0.187625885,31.08330917,413.0396843,48,125,36,0.984615385,0.974085687
1,0.251464844,90.39160156,1228.584717,34,145,32,0.985507246,1.128320872
1,0.5625,27.875,760.53125,17,155,29,1,1.233480005
1,0.00012207,46.34509277,727.8164063,36,125,34,1.015151515,1.149510653
1,0,32.875,797.625,10,115,29,1,1.22869657
1,0,16.5,719,7,125,28,0.970149254,1.272459499
1,0,45,880,6,205,28,0.927710843,1.005963184
1,0.25,58.5,653.5,8,170,28,0.972222222,1.170227439
1,0.5,43.5,478.25,6,135,27,1,1.43820512
1,0.75,34.40625,468.65625,12,242,32,0.974358974,0.814848348
1,0.25,54.25,846.71875,15,125,26,0.985294118,1.183850163
1,0,76,900,3,145,31,0.970588235,1.2039801
1,0.53125,30.65625,368.875,12,155,28,0.958333333,0.982465198
1,0.28125,119.8150635,1070.553833,31,135,34,1.015384615,0.994681453
1,0.25881958,50.84196448,507.8983235,59,145,32,0.95890411,1.035446653
1,0,64.578125,886.6328125,29,135,36,0.970588235,1.223379463
1,0.017822266,39.92822266,779.1535645,23,205,28,0.974025974,1.227770168
1,1,23,471,7,205,32,0.986842105,0.930153898
1,0.002197266,27.00268555,475.6599121,21,240,43,0.925,1.587093392
1,0,45.8203125,796.8046875,22,145,34,1,0.885749596
1,1,7,18,1,185,32,0.935064935,1.01010101
1,0.00390625,47.40136719,977.7285156,30,265,30,0.95,1.129215052
1,0.580810547,29.35900879,399.7260742,32,135,36,0.971014493,0.787109021
1,0.000012,43.0721088,790.8461995,72,240,42,0.974025974,1.064271153
1,0,39.875,658,16,145,32,1.014705882,1.463052742
1,0,47.8125,726.25,15,135,29,1,1.16451479
1,0.25,36.5,854.5,9,135,33,1,1.038961039
1,0.00E+00,46,743,9,260,26,0.961538462,1.434814459
1,0,61,531.5,4,145,32,0.958333333,1.089567605
1,0.0625,23.75,407.3125,11,125,31,0.956521739,1.06787542
1,0,31.875,608.75,8,125,22,1,1.087478559
1,0,67.39941406,852.1064453,31,170,32,0.986111111,1.108409342
1,0,49.625,664,9,185,30,0.933333333,1.078839412
1,0.54296875,120.0297852,1462.776855,43,170,33,0.947368421,1.188413017
1,0.0625,35.484375,666.625,18,135,28,0.956521739,1.179464963
1,0.130874634,26.31663513,533.9975281,44,185,29,0.971830986,1.950132836
1,0,18,256.875,9,115,28,0.970149254,1.147549761
1,0,11.5,372,3,185,31,0.98630137,1.271645022
1,0,127,900,3,170,27,0.95890411,1.011307533
1,0.03125,94.4375,885.625,18,135,33,0.906666667,1.031071023
1,0.31640625,35.6796875,669.7304688,21,125,30,0.970149254,1.032053394
1,0.5,145.5,900,6,135,26,0.970149254,1.094281298
1,0.5,15.5,197.25,3,155,27,0.907894737,0.963031998
1,0.002096653,45.89661813,594.965261,58,155,34,0.95890411,1.010978248
1,0.316196442,75.09521484,964.51408,42,265,40,0.95,1.032857875
1,0.033203125,55.72265625,588.3417969,21,155,36,0.932432432,0.972705805
1,0.546875,37.3125,392.734375,14,135,28,1.014285714,1.031000517
1,1.3125,56.96875,512.71875,12,205,32,0.926829268,1.065355744
1,0,9,169,1,145,29,0.917808219,1.1875
1,0.5,59.75,874.25,9,145,28,0.972972973,1.424519382
1,0,73.0625,870.3125,14,125,30,1.032258065,1.128520741
1,1,66,419,2,145,31,0.985074627,1.013824885
1,0.228637695,124.9509888,1278.599365,37,155,30,0.96,1.064400283
1,0.5625,42.1171875,568.375,22,185,32,0.986486486,1.043466276
1,0,31.03125,791.40625,16,135,31,0.956521739,1.387635495
1,0,67.921875,1128.000977,39,125,34,1,1.059705698
1,0.065246582,112.4348326,1202.237241,58,155,32,0.958333333,1.217214981
1,0.187507629,23.64103699,645.5224609,49,185,33,0.986486486,1.395127714
1,0,60.5,900,9,155,24,0.930555556,1.362553277
1,0.0625,55.625,900,15,115,33,1.015384615,1.200263216
1,0,12,282,1,125,27,0.955882353,1.449275362
1,1.08984375,25.26171875,360.7617188,15,205,30,0.960526316,1.089744926
1,0.06262207,45.44696832,741.1738205,64,145,36,1,1.06561368
1,0.125,53.96875,793.25,16,135,28,0.956521739,1.132599333
1,0.002197266,39.59570313,898.3200684,33,185,33,0.98630137,1.282651351
1,0.250976563,27.11328125,549.8701172,27,170,30,0.986111111,1.323322221
1,0,18.59375,266.046875,11,125,31,0.971428571,1.325078248
1,0.125,47.734375,899.3125,28,125,38,0.971014493,1.432059877
1,0,11.5,220,3,225,36,1,0.775193798
