fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Adrian Yanez,red,3/20/2021,Red,1,0.5,0,0,17,35,18,0,5,166,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135,27
Trevin Giles,red,3/20/2021,Red,1.03125,0.576875,0.40625,0.25,43.15625,93.125,57.21875,0.78125,176.15625,747.34375,17,0,2,0,2,4,2,0,0,1,0,3,0,0,Orthodox,182.88,187.96,185,28
Tai Tuivasa,red,3/20/2021,Red,0.546875,0.53890625,0,0,30.375,70.5,41.390625,0,82.453125,448.203125,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264,28
Cheyanne Buys,red,3/20/2021,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115,25
Marion Reneau,red,3/20/2021,Blue,0,0.403076172,0.51171875,0.231445313,44.36230469,137.1542969,70.19824219,1.26171875,141.2851563,874.3808594,30,0,2,0,2,5,6,0,0,0,1,2,2,0,Orthodox,167.64,172.72,135,43
Leonardo Santos,red,3/20/2021,Blue,0.3125,0.56515625,0.33703125,0.0390625,42.1875,110.9140625,68.0625,0.6328125,59.03125,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,Orthodox,182.88,190.5,155,41
Song Kenan,red,3/20/2021,Blue,0.625,0.493125,0,0,33.5,77.5625,36.5625,0,13.5,445,10,0,2,0,2,4,1,0,0,0,1,3,0,0,Orthodox,182.88,180.34,170,31
Derek Brunson,red,3/20/2021,Red,0.024551392,0.515636139,0.35582428,9.16E-05,72.17990112,150.5239868,88.71699524,3.008209229,157.8121185,683.1185608,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185,37
Montel Jackson,red,3/20/2021,Red,0.75,0.615,0.66875,0.0625,43,117.625,88.4375,4.25,301.5625,850,13,0,0,1,3,3,2,0,0,0,2,0,1,0,Southpaw,177.8,190.5,135,28
Bruno Silva,red,3/20/2021,Red,0,0.42,0.3625,0,39.75,117,57.25,3.25,198,870,9,0,0,3,0,0,3,0,0,0,0,0,0,0,,182.88,,185,31
Manel Kape,red,3/13/2021,Blue,0,0.53,0.28,0,49,94,51,2,25,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,27
Misha Cirkunov,red,3/13/2021,Blue,0,0.5615625,0.392773438,0.77734375,6.90625,29.39453125,22.2265625,0.6875,82.94140625,161.4882813,12,0,4,0,4,6,3,0,0,0,0,1,5,0,Orthodox,190.5,195.58,205,34
Leon Edwards,red,3/13/2021,Draw,0.313964844,0.488525391,0.370703125,0.10546875,68.74414063,175.7543945,88.94873047,2.234375,331.5981445,1273.572266,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,187.96,187.96,170,29
Charles Jourdain,red,3/13/2021,Red,0.5,0.4325,0,1.5,52.375,134.25,66.5,0,91.625,859,11,0,0,1,1,1,3,0,0,0,0,1,0,0,Switch,175.26,175.26,145,25
Eryk Anders,red,3/13/2021,Draw,0.173828125,0.433222656,0.012382813,0.015625,42.05859375,123.90625,58.69335938,0.111328125,189.375,798.0351563,28,0,2,0,2,5,5,0,0,1,1,3,0,0,Southpaw,185.42,190.5,185,33
Angela Hill,red,3/13/2021,Red,0.250152588,0.483366089,0.101591797,0.140625,103.708313,225.5984192,115.5010376,0.206298828,113.0008545,1170.845886,45,0,1,0,3,7,9,0,0,0,5,1,0,1,Orthodox,160.02,162.56,115,36
Jonathan Martinez,red,3/13/2021,Blue,0.8125,0.4340625,0.28125,0,70.1875,171.625,74.46875,0.3125,45.875,835.125,18,0,0,1,2,4,2,0,0,0,2,2,0,0,Southpaw,172.72,177.8,135,26
Dan Ige,red,3/13/2021,Red,0.09375,0.44078125,0.186796875,0.03125,73.21875,185.4375,84.4140625,0.53125,63.453125,1167.640625,22,0,0,1,6,6,2,0,0,2,2,1,1,0,Orthodox,170.18,180.34,145,29
Nasrat Haqparast,red,3/13/2021,Red,0.25,0.521875,0.03125,0,67.875,144.0625,72.15625,0.03125,15.90625,622,15,0,0,1,3,4,2,0,0,0,3,1,0,0,Southpaw,177.8,182.88,155,25
Cortney Casey,red,3/13/2021,Blue,0,0.420766602,0.010976563,0.595703125,32.12548828,137.0878906,82.57617188,0.064453125,10.54736328,715.0507813,30,0,0,2,2,5,7,0,0,1,1,1,2,0,Orthodox,170.18,170.18,125,33
Matthew Semelsberger,red,3/13/2021,Red,1,0.5,1,1,118,237,122,2,166,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Switch,185.42,190.5,170,28
Rani Yahya,red,3/13/2021,Red,0,0.478664398,0.266587372,0.456298828,26.63063049,105.4945374,51.18893433,1.250137329,191.8768921,764.214325,42,0,1,0,4,11,6,0,0,1,4,0,6,0,Orthodox,167.64,170.18,135,36
