glove_red=1,avg_KD,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,total_time_fought(seconds),total_rounds_fought,Height_cms,Reach_cms,Weight_lbs,age,winner_red=1_blue=0_draw=2
1,1,0.5,17,35,18,166,1,170.18,177.8,135,27,1
1,1.03125,0.576875,43.15625,93.125,57.21875,747.34375,17,182.88,187.96,185,28,1
1,0.546875,0.53890625,30.375,70.5,41.390625,448.203125,13,187.96,190.5,264,28,1
1,,,,,,,0,160.02,160.02,115,25,0
1,0,0.403076172,44.36230469,137.1542969,70.19824219,874.3808594,30,167.64,172.72,135,43,0
1,0.3125,0.56515625,42.1875,110.9140625,68.0625,649.3046875,18,182.88,190.5,155,41,0
1,0.625,0.493125,33.5,77.5625,36.5625,445,10,182.88,180.34,170,31,0
1,0.024551392,0.515636139,72.17990112,150.5239868,88.71699524,683.1185608,31,185.42,195.58,185,37,1
1,0.75,0.615,43,117.625,88.4375,850,13,177.8,190.5,135,28,1
1,0,0.42,39.75,117,57.25,870,9,182.88,,185,31,1
1,0,0.53,49,94,51,900,3,165.1,172.72,125,27,0
1,0,0.5615625,6.90625,29.39453125,22.2265625,161.4882813,12,190.5,195.58,205,34,0
1,0.313964844,0.488525391,68.74414063,175.7543945,88.94873047,1273.572266,38,187.96,187.96,170,29,2
1,0.5,0.4325,52.375,134.25,66.5,859,11,175.26,175.26,145,25,1
1,0.173828125,0.433222656,42.05859375,123.90625,58.69335938,798.0351563,28,185.42,190.5,185,33,2
1,0.250152588,0.483366089,103.708313,225.5984192,115.5010376,1170.845886,45,160.02,162.56,115,36,1
1,0.8125,0.4340625,70.1875,171.625,74.46875,835.125,18,172.72,177.8,135,26,0
1,0.09375,0.44078125,73.21875,185.4375,84.4140625,1167.640625,22,170.18,180.34,145,29,1
1,0.25,0.521875,67.875,144.0625,72.15625,622,15,177.8,182.88,155,25,1
1,0,0.420766602,32.12548828,137.0878906,82.57617188,715.0507813,30,170.18,170.18,125,33,0
1,1,0.5,118,237,122,900,3,185.42,190.5,170,28,1
1,0,0.478664398,26.63063049,105.4945374,51.18893433,764.214325,42,167.64,170.18,135,36,1
1,,,,,,,0,165.1,170.18,115,25,0
1,0.125,0.37609375,59.53125,177.34375,64.859375,1004.03125,28,172.72,172.72,135,35,1
1,0.1875,0.41875,65.40625,161.84375,81.15625,773.46875,13,172.72,170.18,145,23,0
1,1.53125,0.53953125,126.828125,261.375,163.53125,1067.5625,20,170.18,170.18,135,28,0
1,0.825195313,0.456121826,36.394104,85.80523682,41.70812988,587.8077393,39,187.96,198.12,205,38,1
1,0.760400772,0.505374584,44.54456902,123.8535004,67.23523712,876.8006668,40,187.96,193.04,205,37,0
1,0.187625885,0.544965229,31.08330917,70.81346893,37.59082222,413.0396843,48,162.56,165.1,125,36,0
1,0.251464844,0.519829102,90.39160156,213.7929688,125.3968506,1228.584717,34,172.72,175.26,145,32,1
1,0.5625,0.51875,27.875,96.8828125,61.9921875,760.53125,17,177.8,177.8,155,29,1
1,0.00012207,0.450472412,46.34509277,137.4373779,71.16821289,727.8164063,36,170.18,167.64,125,34,1
1,0,0.5225,32.875,82.75,53.125,797.625,10,160.02,160.02,115,29,0
1,0,0.485,16.5,43.75,27,719,7,165.1,170.18,125,28,0
1,,,,,,,0,185.42,180.34,155,27,1
1,0,0.475,45,101.5,48.5,880,6,195.58,210.82,205,28,1
1,0.25,0.5475,58.5,157.25,100.75,653.5,8,177.8,182.88,170,28,1
